"gene symbol",pseudo
HIST1H2BN,0
HIST1H4F,0
HIST1H4L,0
HIST1H2AD,0
HIST1H3A,0
HIST1H2BE,0
HIST1H4H,0
HIST1H3B,0
HIST1H2BA,0
HIST1H2AI,0
HIST1H3E,0
HIST1H2AC,0
HIST1H2AF,0
HIST1H2AH,0
HIST3H2BB,0
HIST2H4,0
HIST1H2BK,0
HIST1H3H,0
HIST1H4I,0
HIST3H3,0
HIST1H2BH,0
HIST1H2AK,0
HIST1H4B,0
HIST1H2BO,0
HIST1H4A,0
HIST1H3I,0
HIST1H3C,0
HIST1H2BJ,0
HIST1H2AL,0
HIST1H4E,0
HIST3H2A,0
HIST4H4,0
HIST2H3C,0
HIST1H2BD,0
HIST1H2BC,0
HIST2H2AB,0
HIST1H3J,0
HIST2H2AA,0
HIST1H4C,0
HIST1H2BB,0
HIST1H2BM,0
HIST1H2AM,0
HIST1H2AJ,0
HIST1H4K,0
HIST1H2AA,0
HIST1H3D,0
HIST1H2AE,0
HIST1H2BI,0
HIST1H2BG,0
HIST2H2AC,0
HIST1H2AB,0
HIST1H2BL,0
HIST1H3F,0
HIST1H3G,0
HIST1H4D,0
HIST1H4J,0
HIST1H2BF,0
HIST2H2BE,0
HIST1H4G,0
HIST2H2BB,1
HIST2H2BA,1
HIST2H2BD,1
HIST3H2BA,1
HIST2H2BC,1
HIST1H3B,1
HIST2H3A,1
